artist_name,number_of_songs,avg_track_popularity,avg_track_duration,artist_popularity,explicit_songs,artist_labels,explicit_dependency
OMI,3,64.67,3.01,63,0,"['reggae', 'electronic', 'hardcore', 'dance', 'jamaican']",0.0
Nicky Youre,2,5.0,2.71,63,0,"['pop', 'indie pop', 'c', 'indie', 'alternative']",0.0
Nick Cave & The Bad Seeds,2,0.0,5.76,63,0,"['post-punk', 'rock', 'alternative', 'singer-songwriter', 'alternative rock']",0.0
Duncan Laurence,2,75.0,3.07,63,0,"['pop', 'soul', 'dutch', 'eurovision', 'male vocalists']",0.0
Gustavo Santaolalla,6,45.33,2.48,63,0,['soundtrack'],0.0
James Horner,8,42.75,4.94,63,0,['soundtrack'],0.0
Take That,5,52.8,3.64,63,0,"['pop', 'british', 'britpop', '90s', 'boybands']",0.0
Sydney Rose,2,61.5,3.78,63,0,"['indie pop', 'singer-songwriter', 'indie folk', 'folk pop', 'united states']",0.0
Brantley Gilbert,4,40.25,3.74,63,0,"['country', 'country rock', 'country hip hop', 'acoustic country']",0.0
R. City,2,69.0,3.78,63,0,,0.0
Rosa Linn,3,0.67,2.75,63,0,"['eurovision', 'pop', 'armenian', 'armenia', 'eurovision 2022']",0.0
Bo Burnham,2,51.5,2.99,63,1,['comedy'],50.0
Fiona Apple,11,56.0,4.37,63,2,['art pop'],18.18
Rich The Kid,2,62.0,3.06,63,2,['trap'],100.0
Nothing But Thieves,2,48.5,3.87,63,0,"['alternative rock', 'rock', 'indie rock', 'indie', 'alternative']",0.0
Pastel Ghost,9,44.11,3.77,63,0,"['witch house', 'darkwave']",0.0
LUM!X,2,50.0,2.46,63,0,"['slap house', 'melbourne bounce']",0.0
Travis Tritt,2,61.5,4.15,63,0,"['classic country', 'country', 'outlaw country', 'traditional country']",0.0
Robin Thicke,2,67.0,4.38,63,1,"['soul', 'rnb', 'pop', 'singer-songwriter', 'blue-eyed soul']",50.0
Vanessa Carlton,2,30.0,3.95,63,0,"['pop', 'female vocalists', 'piano', 'singer-songwriter', 'rock']",0.0
The Vamps,3,66.0,3.19,62,0,"['pop', 'british', 'pop rock', 'indie', 'acoustic']",0.0
Mabel,3,56.0,3.67,62,1,"['pop', 'rnb', 'dance', 'british', 'female vocalists']",33.33
BENEE,2,62.0,3.72,62,2,"['pop', 'indie pop', 'indie', 'new zealand', 'female vocalists']",100.0
Cordae,2,59.5,2.73,62,2,"['rap', 'trap', 'hip-hop', 'jazz rap', 'hip hop']",100.0
BANNERS,2,71.0,3.66,62,0,"['indie', 'indie pop', 'pop', 'british', 'alternative']",0.0
The Kinks,4,26.0,3.14,62,0,"['proto-punk', 'baroque pop']",0.0
lucidbeatz,2,65.5,2.17,62,0,"['usa', 'newjazz', 'kazakhstan']",0.0
James Newton Howard,10,35.4,2.44,62,0,['soundtrack'],0.0
Thierry Von Der Warth,2,62.5,2.3,62,0,['tropical house'],0.0
Lucky Daye,3,60.33,3.36,62,3,"['soul', 'rnb', 'hip-hop', 'louisiana', 'usa']",100.0
Astrid S,2,69.0,3.47,62,0,['norwegian pop'],0.0
Cheat Codes,3,33.0,3.5,62,0,"['electronic', 'pop', 'edm', 'tropical house', 'house']",0.0
Naughty Boy,2,67.0,3.61,62,0,"['electronic', 'rnb', 'house', 'dance', 'electronica']",0.0
Nancy Ajram,11,39.27,4.36,62,0,"['egyptian pop', 'khaleeji', 'sholawat']",0.0
Mr.Kitty,2,51.0,3.92,62,0,"['witch house', 'darkwave']",0.0
Klaus Badelt,11,52.18,2.56,62,0,['soundtrack'],0.0
Sidewalks and Skeletons,2,72.5,3.83,62,0,"['witch house', 'darkwave']",0.0
PSY,3,60.33,3.81,62,0,['k-pop'],0.0
Huey Lewis & The News,2,31.5,3.99,62,0,"['80s', 'rock', 'classic rock', 'pop', 'pop-rock']",0.0
Olly Murs,3,65.0,3.42,62,0,"['pop', 'british', 'male vocalists', 'indie', 'x factor']",0.0
Prezioso,2,38.5,2.45,62,0,['italo dance'],0.0
4batz,2,66.5,2.87,62,2,"['rnb', 'rap', 'soul', 'hip hop', 'hip-hop']",100.0
Liam Payne,2,65.5,3.38,62,0,"['pop', 'rnb', 'british', 'male vocalists', 'one direction']",0.0
Mareux,2,68.5,3.12,62,0,"['darkwave', 'cold wave']",0.0
Tokio Hotel,2,47.5,3.82,62,0,"['rock', 'german', 'pop rock', 'alternative', 'pop']",0.0
Alexandre Desplat,12,36.75,2.44,62,0,['soundtrack'],0.0
Tinie Tempah,2,60.0,3.86,62,2,['grime'],100.0
Ruelle,2,62.5,3.64,61,0,"['pop', 'electropop', 'indie pop', 'indie', 'female vocalists']",0.0
Young M.A,2,64.0,3.84,61,2,"['hip-hop', 'rap', 'trap', 'brooklyn', 'hip hop']",100.0
Ahmed Saad,9,42.67,4.01,61,0,"['mahraganat', 'egyptian pop', 'egyptian shaabi', 'khaleeji']",0.0
Reba McEntire,2,41.0,4.64,61,0,"['country', 'classic country']",0.0
Jordan Adetunji,2,68.0,2.51,61,1,['sexy drill'],50.0
JP Saxe,2,67.5,3.48,61,0,"['indie', 'pop', 'singer-songwriter', 'canadian', 'canada']",0.0
The Wanted,5,46.8,3.31,61,0,"['pop', 'british', 'garage rock', 'the wanted', 'male vocalists']",0.0
Wegz,12,50.08,2.88,61,0,"['egyptian hip hop', 'arabic hip hop', 'mahraganat', 'egyptian pop']",0.0
K.Flay,25,37.2,3.34,61,17,"['hip-hop', 'rap', 'indie', 'hip hop', 'alternative']",68.0
Bishop Briggs,2,65.5,3.54,61,0,"['indie', 'british', 'pop', 'alternative', 'indie rock']",0.0
Sara Bareilles,2,69.0,3.99,61,0,"['female vocalists', 'pop', 'singer-songwriter', 'piano', 'acoustic']",0.0
Justine Skye,3,65.67,3.9,61,3,"['rnb', 'pop', 'soul', 'brooklyn', 'electronica']",100.0
Samuel Kim,2,0.0,2.84,61,0,['anime'],0.0
Nico & Vinz,2,67.0,4.11,61,0,"['pop', 'norwegian', 'hip-hop', 'rnb', 'norway']",0.0
Soft Cell,2,60.5,2.56,61,0,"['synthpop', 'new wave']",0.0
Toploader,2,70.0,3.88,61,0,"['pop', 'britpop', 'british', 'indie', 'rock']",0.0
ConKi,20,49.55,2.58,61,0,,0.0
BETWEEN FRIENDS,4,0.25,3.14,61,2,"['indie pop', 'my top songs', 'electronic', 'american', 'alt-pop']",50.0
Marty Robbins,3,64.33,3.43,61,0,"['classic country', 'outlaw country']",0.0
Marwan Moussa,11,46.0,2.71,61,0,"['egyptian hip hop', 'arabic hip hop', 'egyptian pop', 'mahraganat']",0.0
The Chemical Brothers,4,16.25,3.84,61,0,"['big beat', 'alternative dance', 'electronic', 'breakbeat']",0.0
Hole,2,54.5,3.24,61,0,"['riot grrrl', 'grunge']",0.0
VIZE,2,53.5,2.72,60,0,['slap house'],0.0
SOJA,3,40.33,3.81,60,0,"['reggae', 'roots reggae', 'reggae rock']",0.0
Phillip Phillips,3,24.0,3.5,60,0,['folk pop'],0.0
Cairokee,12,53.08,3.7,60,0,"['egyptian pop', 'egyptian hip hop', 'arabic hip hop', 'mahraganat']",0.0
Kavinsky,2,57.5,3.86,60,0,"['synthwave', 'french house']",0.0
La Roux,2,37.0,3.42,60,0,"['electropop', 'electronic', 'synthpop', 'dance', 'indietronica']",0.0
LIZOT,2,46.0,2.38,60,0,"['slap house', 'hypertechno']",0.0
Nicholas Britell,3,44.33,1.61,60,0,"['soundtrack', 'classical', 'composer', 'usa', 'film score']",0.0
Olivia O'Brien,2,53.0,3.04,60,0,"['pop', 'electronic', 'american', 'usa', 'female vocalists']",0.0
Tracy Lawrence,2,49.5,3.94,60,0,"['country', 'classic country', 'traditional country']",0.0
Faith Hill,3,46.67,3.5,60,0,['country'],0.0
Basshunter,2,65.0,3.14,60,0,"['eurodance', 'europop']",0.0
Darci,3,58.0,2.48,60,3,['dark r&b'],100.0
AWOLNATION,2,39.5,4.31,60,0,"['electronic', 'indie', 'alternative', 'indie rock', 'rock']",0.0
DJSM,2,40.5,2.37,60,0,"['hypertechno', 'hard techno']",0.0
Thomas Newman,5,52.2,2.49,60,0,['soundtrack'],0.0
The City of Prague Philharmonic Orchestra,3,8.67,4.63,60,0,"['orchestral', 'classical']",0.0
Royal Blood,2,55.5,3.44,60,1,"['garage rock', 'rock']",50.0
Geek Music,3,46.0,2.64,60,0,['anime'],0.0
Jóhann Jóhannsson,10,35.9,2.4,60,0,['neoclassical'],0.0
Dybbukk,4,54.25,1.51,59,2,,50.0
Trevor Daniel,2,34.0,2.65,59,0,"['pop', 'rnb', 'hip-hop', 'rap', 'alternative rnb']",0.0
Ex Habit,13,51.46,2.82,59,4,['dark r&b'],30.77
Mckyyy,2,56.0,2.12,59,0,"['house', 'electro']",0.0
The Pretty Reckless,3,53.0,3.59,59,1,"['rock', 'alternative', 'female vocalists', 'post-grunge', 'indie rock']",33.33
Michael Schulte,2,63.0,3.52,59,0,"['german', 'pop', 'c', 'acoustic', 'singer-songwriter']",0.0
Asal,2,52.5,2.74,59,0,"['canadian', 'indie', 'canada', 'alternative', 'my ladies']",0.0
Travie McCoy,2,71.5,3.51,59,2,"['hip-hop', 'rap', 'alternative rap', 'indie', 'hip hop']",100.0
Regina Spektor,3,40.33,3.82,59,0,['anti-folk'],0.0
